2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:06 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:07 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
